country,n,iou_s2,iou_planet
austria,52,0.608651845933736,0.8007827793401506
belgium,57,0.6839004664719355,0.7890752073684433
brazil,58,0.6426937903089283,0.5671964310098296
cambodia,16,0.5061028246529478,0.7979579401956833
corsica,22,0.17843513795283883,0.23764465032607324
croatia,51,0.5858714083691463,0.6959811880153458
denmark,59,0.7110266175179407,0.8438999559315606
estonia,44,0.746074448331333,0.7681766224297188
finland,47,0.7425514720831274,0.8657862268928724
france,57,0.7490152129366894,0.7679145094543632
germany,44,0.7722096386613803,0.8060937648979313
latvia,51,0.6542486826490258,0.7081282940885125
lithuania,56,0.6418352206733504,0.7865212742108081
luxembourg,58,0.5957114277888484,0.8304262402806813
netherlands,51,0.5793508486458022,0.7705599099703306
portugal,2,0.0029816736158246875,0.3222644977876579
rwanda,6,0.16911946529768876,0.020367797912320223
slovakia,53,0.7986657239345742,0.8706530532203169
slovenia,46,0.274961496984748,0.3838477545051825
south_africa,41,0.6772112676225837,0.7584574041024488
spain,57,0.6422922335102014,0.7491876150765006
sweden,51,0.6749064074057857,0.7856250717693618
vietnam,21,0.45344000908610416,0.7677895407452381
