source_file,model,imagery,backbone,license_split,n_countries,n_patches_total,pq,sq,rq,f1_5_95,poly_count_delta_mean,bnd_err_mean_m,bnd_err_p95_m
planet_b3_augmax_full.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,10,2544,0.3562,0.7808,0.4460,0.2889,55.83,7.3570,22.2031
planet_b3_augmax_ccby.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,ccby,10,2544,0.2998,0.7059,0.3739,0.2448,63.95,8.0683,25.2475
planet_b7_augmax_ccby.csv,PRUE-FTP-B7-augmax,planet,efficientnet-b7,ccby,10,2544,0.3060,0.7046,0.3825,0.2488,61.44,7.9991,25.3279
planet_b3_sdf_augmax_ccby.csv,PRUE-FTP-B3-augmax-SDF,planet,efficientnet-b3,ccby,10,2544,0.2851,0.7018,0.3576,0.2309,67.08,8.1848,25.3108
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,10,3034,0.2706,0.6838,0.3488,0.2101,56.68,17.5039,53.5366
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,10,3034,0.2577,0.6823,0.3326,0.1997,58.76,17.6950,51.9716
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,10,3034,0.3108,0.7578,0.3942,0.2474,54.91,15.1551,45.3443
s2_b7_augmax_ccby.csv,S2-B7-augmax,s2,efficientnet-b7,ccby,10,3034,0.2727,0.6897,0.3476,0.2155,58.71,16.7500,51.6681
s2_upsampled_b3_augmax_full.csv,S2-upsampled-B3-augmax,s2_upsampled,efficientnet-b3,full,10,3034,0.3149,0.7752,0.3952,0.2546,45.96,28.0271,89.9774
ftw_s2_prue_b3_full.csv,PRUE-B3-released,s2,efficientnet-b3,full,10,3034,0.3293,0.7878,0.4073,0.2719,53.97,13.9813,47.1652
ftw_s2_prue_b7_full.csv,PRUE-B7-released,s2,efficientnet-b7,full,10,3034,0.3749,0.8026,0.4545,0.3185,49.07,11.6822,41.5721
delineate_anything_conf0005.csv,DelineateAnything-conf0.005,planet,yolo11x-seg,zeroshot,10,2544,0.1464,0.7402,0.1946,0.1097,85.78,12.2084,35.5959
repro_eval_109588.out,PRUE-FTP-B3-augmax-WS+TTA(paper-headline),planet,efficientnet-b3,full,10,2544,0.3601,0.7790,0.4516,0.2915,,7.3950,
