method,backbone,condition,country,n_patches,pq,sq,rq,f1_5_95,n_pred_mean,n_gt_mean,dN_over_N,pq_small,pq_medium,pq_large
FTW-PRUE+ (S2),B3,s2b3_10m,belgium,198,0.3160,0.7298,0.4330,0.2208,30.25,35.03,0.1363,0.1204,0.4007,0.4664
FTW-PRUE+ (S2),B3,s2b3_10m,cambodia,25,0.1041,0.6007,0.1734,0.0441,409.24,624.80,0.3450,0.0732,0.2671,0.0456
FTW-PRUE+ (S2),B3,s2b3_10m,croatia,353,0.1703,0.6574,0.2590,0.0948,44.09,46.22,0.0460,0.0441,0.2827,0.4311
FTW-PRUE+ (S2),B3,s2b3_10m,germany,350,0.3058,0.7676,0.3983,0.2334,5.26,8.97,0.4132,0.0545,0.2303,0.4596
FTW-PRUE+ (S2),B3,s2b3_10m,latvia,741,0.2502,0.7444,0.3362,0.1811,8.09,10.15,0.2033,0.0526,0.2394,0.4107
FTW-PRUE+ (S2),B3,s2b3_10m,lithuania,528,0.1431,0.7049,0.2030,0.0937,11.18,17.35,0.3555,0.0360,0.1706,0.2281
FTW-PRUE+ (S2),B3,s2b3_10m,portugal,10,0.0014,0.7268,0.0019,0.0009,1.70,103.70,0.9836,0.0019,0.0000,0.0000
FTW-PRUE+ (S2),B3,s2b3_10m,slovenia,228,0.1581,0.6835,0.2313,0.0968,16.97,32.44,0.4769,0.0613,0.3351,0.3760
FTW-PRUE+ (S2),B3,s2b3_10m,south_africa,85,0.3754,0.7912,0.4745,0.3002,12.72,13.12,0.0305,0.1005,0.3416,0.5073
FTW-PRUE+ (S2),B3,s2b3_10m,sweden,516,0.2757,0.7306,0.3773,0.1934,10.04,14.75,0.3193,0.0372,0.2597,0.4575
FTW-PRUE+ (S2),B7,s2nat10,belgium,198,0.3212,0.7390,0.4347,0.2298,25.95,35.03,0.2590,0.1307,0.4050,0.4672
FTW-PRUE+ (S2),B7,s2nat10,cambodia,25,0.1568,0.6080,0.2579,0.0693,407.28,624.80,0.3481,0.1114,0.3518,0.1683
FTW-PRUE+ (S2),B7,s2nat10,croatia,353,0.1869,0.6812,0.2743,0.1133,36.02,46.22,0.2207,0.0626,0.2804,0.4236
FTW-PRUE+ (S2),B7,s2nat10,germany,350,0.3290,0.7794,0.4221,0.2569,5.02,8.97,0.4406,0.0561,0.2449,0.4829
FTW-PRUE+ (S2),B7,s2nat10,latvia,741,0.2890,0.7581,0.3812,0.2159,8.91,10.15,0.1218,0.0643,0.2790,0.4509
FTW-PRUE+ (S2),B7,s2nat10,lithuania,528,0.1715,0.7141,0.2401,0.1151,11.16,17.35,0.3568,0.0457,0.2030,0.2638
FTW-PRUE+ (S2),B7,s2nat10,portugal,10,0.0114,0.5798,0.0197,0.0041,7.90,103.70,0.9238,0.0074,0.0261,0.0000
FTW-PRUE+ (S2),B7,s2nat10,slovenia,228,0.1758,0.6865,0.2561,0.1087,20.34,32.44,0.3729,0.0764,0.3718,0.4148
FTW-PRUE+ (S2),B7,s2nat10,south_africa,85,0.4581,0.8042,0.5696,0.3754,11.21,13.12,0.1453,0.1510,0.3804,0.5861
FTW-PRUE+ (S2),B7,s2nat10,sweden,516,0.3199,0.7462,0.4287,0.2329,9.73,14.75,0.3405,0.0421,0.2952,0.5103
FTP-PRUE+ (Planet),B3,planet3m,belgium,146,0.4869,0.7644,0.6369,0.3685,28.84,34.39,0.1613,0.2352,0.5757,0.6835
FTP-PRUE+ (Planet),B3,planet3m,cambodia,16,0.1736,0.6480,0.2678,0.0931,258.38,603.62,0.5720,0.1420,0.2796,0.1327
FTP-PRUE+ (Planet),B3,planet3m,croatia,349,0.3272,0.7052,0.4639,0.2141,40.49,46.74,0.1338,0.1651,0.4367,0.5942
FTP-PRUE+ (Planet),B3,planet3m,germany,252,0.3489,0.7899,0.4416,0.2787,4.90,8.67,0.4345,0.1017,0.2615,0.4792
FTP-PRUE+ (Planet),B3,planet3m,latvia,703,0.4858,0.8105,0.5994,0.4020,7.74,10.39,0.2546,0.1666,0.4616,0.6966
FTP-PRUE+ (Planet),B3,planet3m,lithuania,403,0.4631,0.7748,0.5977,0.3583,16.37,19.66,0.1675,0.2172,0.5040,0.6588
FTP-PRUE+ (Planet),B3,planet3m,portugal,2,0.0107,0.7682,0.0140,0.0077,6.00,137.00,0.9562,0.0069,0.0331,0.0000
FTP-PRUE+ (Planet),B3,planet3m,slovenia,214,0.2594,0.6911,0.3753,0.1628,18.23,33.57,0.4568,0.1184,0.4824,0.6320
FTP-PRUE+ (Planet),B3,planet3m,south_africa,43,0.5082,0.8181,0.6212,0.4253,14.35,15.98,0.1019,0.2518,0.3943,0.6375
FTP-PRUE+ (Planet),B3,planet3m,sweden,416,0.4863,0.8036,0.6052,0.3983,13.22,14.23,0.0710,0.1700,0.4942,0.6850
FTP-PRUE+ (Planet),B7,planetb7_3m,belgium,146,0.4928,0.7633,0.6456,0.3718,29.20,34.39,0.1510,0.2491,0.5760,0.6840
FTP-PRUE+ (Planet),B7,planetb7_3m,cambodia,16,0.0911,0.6593,0.1381,0.0509,135.62,603.62,0.7753,0.0582,0.1947,0.0669
FTP-PRUE+ (Planet),B7,planetb7_3m,croatia,349,0.3343,0.7036,0.4751,0.2179,42.93,46.74,0.0816,0.1733,0.4497,0.5843
FTP-PRUE+ (Planet),B7,planetb7_3m,germany,252,0.3370,0.7981,0.4222,0.2730,4.49,8.67,0.4817,0.1028,0.2538,0.4550
FTP-PRUE+ (Planet),B7,planetb7_3m,latvia,703,0.4969,0.8118,0.6122,0.4127,8.06,10.39,0.2244,0.1807,0.4765,0.7056
FTP-PRUE+ (Planet),B7,planetb7_3m,lithuania,403,0.4744,0.7753,0.6119,0.3677,16.30,19.66,0.1711,0.2319,0.5181,0.6593
FTP-PRUE+ (Planet),B7,planetb7_3m,portugal,2,0.0827,0.6173,0.1340,0.0392,57.00,137.00,0.5839,0.0629,0.1889,0.0000
FTP-PRUE+ (Planet),B7,planetb7_3m,slovenia,214,0.2614,0.6911,0.3783,0.1640,18.61,33.57,0.4455,0.1159,0.4927,0.6464
FTP-PRUE+ (Planet),B7,planetb7_3m,south_africa,43,0.4813,0.8146,0.5909,0.4019,15.12,15.98,0.0539,0.2146,0.4102,0.6077
FTP-PRUE+ (Planet),B7,planetb7_3m,sweden,416,0.4850,0.8031,0.6039,0.3963,13.45,14.23,0.0544,0.1733,0.4958,0.6795
